"chmn","med.hitc","med.modl_ga","AR2.antagonist.hitc","AR2.antagonist.ga","use.class"
"Bicalutamide",1,0.44810058320872,1,0.060616454050429,"drug (anti-androgen)"
"Zearalenone",1,0.995099916625804,1,0.927170484423358,"mycotoxin"
"Fenitrothion",1,1.34965882592372,1,0.2764800302165,"pesticide"
"Phosmet",1,1.66810768538984,0,2.5,"pesticide"
"Ethylparaben",0,2.5,0,2.5,"cosmetic"
"5alpha-Dihydrotestosterone",0,2.5,0,2.5,"drug (androgen)"
"4-Cumylphenol",1,1.31754641984784,1,1.28691176087498,"pesticide"
"Cypermethrin",0,2.5,1,1.41930519266114,"pesticide"
"Propargite",0,2.5,1,0.458768603747351,"pesticide"
"Flutolanil",0,2.5,1,1.64904936191674,"pesticide"
"Esfenvalerate",0,2.5,1,1.02791661018293,"pesticide"
"Carbofuran",0,2.5,0,2.5,"pesticide"
"Fulvestrant",0,2.5,0,2.5,"drug (anti-estrogen)"
"Simazine",0,2.5,0,2.5,"pesticide"
"Z-Tetrachlorvinphos",1,1.66223426831166,1,1.52838325885501,"pesticide"
"Permethrin",0,2.5,1,1.6092302191372,"pesticide"
"Levonorgestrel",0,2.5,0,2.5,"drug (progestin)"
"Bisphenol A",1,1.54708705088456,1,1.26303370206383,"industrial"
"Prochloraz",1,1.48078505761121,1,1.04467962958325,"pesticide"
"Benfluralin",0,2.5,1,1.8019298112046,"pesticide"
"Bisphenol B",1,1.25835672129424,1,1.00250717153479,"industrial"
"4-Nonylphenol",1,2.32578001613594,0,2.5,"industrial"
"Propiconazole",1,1.70279064093745,1,1.57808927913567,"pesticide"
"Benomyl",0,2.5,0,2.5,"pesticide"
"17beta-Estradiol",1,-3.30102926504495,1,0.120834817431123,"drug (estrogen)"
"Acephate",0,2.5,0,2.5,"pesticide"
"Vinclozolin",1,0.123812383121088,1,0.557275782242574,"pesticide"
"Cyfluthrin",0,2.5,1,1.27220142534837,"pesticide"
"Linuron",1,1.37816138773575,1,1.45636145614161,"pesticide"
"Ethoprop",0,2.5,0,2.5,"pesticide"
"Bifenthrin",0,2.5,1,1.12844591910986,"pesticide"
"Finasteride",1,1.47753352737308,1,1.48606247378821,"drug (anti-androgen)"
"Octylbicycloheptenedicarboximide",1,1.62234811151502,1,1.47844614012644,"pesticide"
"Dihexyl phthalate",0,2.5,0,2.5,"industrial"
"Pentachloronitrobenzene",1,1.44174880791219,0,2.5,"pesticide"
"Tamoxifen",1,1.58225446639504,1,1.21519902558168,"drug (anti-estrogen)"
"Diazinon",1,2.49999995471626,1,1.59554459329957,"pesticide"
"Triadimefon",0,2.5,1,1.62977565859087,"pesticide"
"Apigenin",1,1.06601377254252,0,2.5,"drug (anti-estrogen)"
"4-Hydroxybenzoic acid",0,2.5,0,2.5,"cosmetic"
"p,p'-DDE",1,1.27506593395152,1,0.924355750003018,"pesticide"
"Dicyclohexyl phthalate",1,1.49069234481971,1,1.21996479579408,"industrial"
"2,4-Dinitrophenol",1,1.80751923040015,1,1.73780699730611,"pesticide"
"Amitrole",0,2.5,0,2.5,"pesticide"
"Mestranol",1,0.630844844888216,1,0.428977155161942,"drug (estrogen)"
"Metribuzin",0,2.5,0,2.5,"pesticide"
"Norflurazon",0,2.5,0,2.5,"pesticide"
"4-Dodecylphenol",1,1.31098822034282,0,2.5,"industrial"
"Diethyl phthalate",0,2.5,0,2.5,"industrial"
"Fenthion",1,1.452600471718,1,1.16658594648698,"pesticide"
"Abamectin",1,0.970791733432106,1,0.869132098883414,"pesticide"
"Pentachlorophenol",0,2.5,0,2.5,"industrial"
"Bis(2-ethylhexyl)hexanedioate",0,2.5,0,2.5,"industrial"
"Raloxifene hydrochloride",1,1.95521929325853,0,2.5,"drug (estrogen)"
"Tebuconazole",1,1.46861821475648,1,1.49984524000847,"pesticide"
"Norethindrone",0,2.5,1,-1.37798621414415,"drug (progestin)"
"4-(2-Methylbutan-2-yl)phenol",1,1.69554312969863,1,1.69919639186937,"industrial"
"o,p'-DDT",1,1.08804688128888,1,0.918175394184064,"pesticide"
"Octamethylcyclotetrasiloxane",0,2.5,0,2.5,"industrial"
"Spironolactone",0,2.5,1,-0.501468357571307,"drug (anti-androgen)"
"Equilin",1,-0.62093703103051,1,-0.0338553288571962,"drug (estrogen)"
"Chlorpyrifos-methyl",0,2.5,0,2.5,"pesticide"
"Propyzamide",0,2.5,1,1.7194541264842,"pesticide"
"Dipentyl phthalate",0,2.5,1,1.45784280464346,"industrial"
"Chlorpyrifos",1,1.705409209266,1,1.83776239451418,"pesticide"
"Mifepristone",1,-0.851703477656442,1,-0.198334980204165,"drug (anti-progestin)"
"Cyproterone acetate",1,-2.24086984440272,0,2.5,"drug (anti-androgen)"
"2,2',4,4'-Tetrahydroxybenzophenone",1,0.981042057631689,1,1.15189497282363,"cosmetic"
"Chlorothalonil",1,-3.29763777525601,0,2.5,"pesticide"
"Metalaxyl",0,2.5,0,2.5,"pesticide"
"Bisphenol AF",1,1.23939981313578,1,0.769940813944162,"industrial"
"Carbendazim",0,2.5,0,2.5,"pesticide"
"Tetramethrin",0,2.5,0,2.5,"pesticide"
"Deltamethrin",0,2.5,0,2.5,"pesticide"
"Estrone",1,0.0911412132690829,1,0.0216753670659873,"drug (estrogen)"
"Kaempferol",1,1.6239553439496,0,2.5,"drug (estrogen)"
"Phenothrin",0,2.5,0,2.5,"pesticide"
"Malathion",1,1.54122735628998,1,1.57047870599142,"pesticide"
"4,4'-Sulfonyldiphenol",0,2.5,0,2.5,"industrial"
"Folpet",0,2.5,0,2.5,"pesticide"
"Anastrozole",0,2.5,1,1.67736450165517,"drug (anti-aromatase)"
"Metolachlor",1,1.54850776140893,0,2.5,"pesticide"
"Oxamyl",0,2.5,0,2.5,"pesticide"
"4-(1,1,3,3-Tetramethylbutyl)phenol",1,0.854873696400556,0,2.5,"industrial"
"Flutamide",1,0.691957664287191,1,0.897843680775093,"drug (anti-androgen)"
"17alpha-Estradiol",1,-2.42260079954422,1,0.352614787661165,"drug (estrogen)"
"Diethylstilbestrol",1,1.78241405161269,1,0.853116483895911,"drug (estrogen)"
"p,p'-DDD",1,1.50159887658416,1,1.08592489838962,"pesticide"
"4-Androstene-3,17-dione",0,2.5,1,-0.230791995482877,"drug (androgen)"
"Trifluralin",0,2.5,0,2.5,"pesticide"
"Procymidone",1,0.542486636185001,1,0.836450529803557,"pesticide"
"2,4-Dihydroxybenzophenone",1,1.59257658444366,1,1.56356986262872,"cosmetic"
"Atrazine",0,2.5,0,2.5,"pesticide"
"Butylparaben",1,1.74303533989,1,1.74889876409277,"cosmetic"
"Methomyl",0,2.5,0,2.5,"pesticide"
"Corticosterone",1,0.253174419993733,1,0.87725630927776,"drug (cortisol)"
"17-Methyltestosterone",0,2.5,1,-0.776743334131549,"drug (androgen)"
"Genistein",0,2.5,1,1.02613719667619,"drug (estrogen)"
"Fenarimol",1,1.91614234332884,1,1.32212938932508,"pesticide"
"Testosterone propionate",0,2.5,1,-0.739706386275267,"drug (androgen)"
"Methoxychlor",1,1.52263490062861,1,0.824857004087847,"pesticide"
